common_name,scientific_name,family,genus,species,plant_type,lifecycle,growth_habit,description,origin_region,native_range,medicinal_uses,agricultural_uses,cultural_significance,toxicity,precautions,is_published
Tulsi,Ocimum tenuiflorum,Lamiaceae,Ocimum,tenuiflorum,herb,perennial,upright,"Tulsi is a sacred medicinal herb known for its adaptogenic, antimicrobial, and immune-supporting properties.",India,Indian Subcontinent,Used for respiratory ailments and stress relief,Companion planting,Sacred in Hindu households,Non-toxic,Safe in moderate use,TRUE
Aloe Vera,Aloe vera,Asphodelaceae,Aloe,vera,succulent,perennial,rosette,"Aloe vera is a succulent plant widely used for skin care, burns, and digestive health.",Arabian Peninsula,Africa;Asia,Burn treatment and digestion support,Cosmetic ingredient,Symbol of healing,Non-toxic,Excess ingestion may cause discomfort,TRUE
Moringa,Drumstick tree,Moringaceae,Moringa,oleifera,tree,perennial,fast-growing,"Moringa is a nutrient-rich tree valued for its edible leaves, pods, and medicinal benefits.",India,South Asia;Africa,Nutritional supplement,Agroforestry,Used in traditional diets,Non-toxic,Wash leaves before use,TRUE
Curry Leaf,Murraya koenigii,Rutaceae,Murraya,koenigii,tree,perennial,aromatic,Curry leaf tree is cultivated for its aromatic leaves used in cooking and traditional medicine.,India,India;Sri Lanka,Digestive aid,Culinary farming,Essential in Indian cuisine,Non-toxic,None,TRUE
Hibiscus,Hibiscus rosa-sinensis,Malvaceae,Hibiscus,rosa-sinensis,shrub,perennial,flowering,"Hibiscus is a flowering shrub used in hair care, herbal remedies, and ornamentation.",Asia,Asia;Pacific,Hair growth treatments,Ornamental horticulture,Used in rituals,Non-toxic,None,TRUE
Rose,Rosa indica,Rosaceae,Rosa,indica,shrub,perennial,flowering,"Rose is a fragrant flowering plant valued for medicinal, cosmetic, and ornamental uses.",Asia,Worldwide,Skin tonics,Ornamental farming,Symbol of love,Non-toxic,Thorns may injure,TRUE
Jasmine,Jasminum sambac,Oleaceae,Jasminum,sambac,shrub,perennial,climbing,"Jasmine is a fragrant plant used in perfumery, medicine, and religious ceremonies.",India,South Asia,Stress relief,Ornamental,Religious offerings,Non-toxic,None,TRUE
Mint,Mentha spicata,Lamiaceae,Mentha,spicata,herb,perennial,spreading,"Mint is a fast-growing aromatic herb used in food, beverages, and medicine.",Europe,Worldwide,Digestive aid,Herb cultivation,Common culinary herb,Non-toxic,Can be invasive,TRUE
Lemongrass,Cymbopogon citratus,Poaceae,Cymbopogon,citratus,herb,perennial,clumping,"Lemongrass is an aromatic grass used in cooking, teas, and essential oils.",Southeast Asia,Tropics,Digestive tea,Essential oil extraction,Used in Ayurveda,Non-toxic,None,TRUE
Ashwagandha,Withania somnifera,Solanaceae,Withania,somnifera,shrub,perennial,bushy,Ashwagandha is an adaptogenic herb used to reduce stress and enhance vitality.,India,India;Middle East,Stress reduction,Medicinal farming,Ayurvedic medicine,Non-toxic,Avoid during pregnancy,TRUE
Giloy,Tinospora cordifolia,Menispermaceae,Tinospora,cordifolia,climber,perennial,climbing,Giloy is a climbing shrub known for its immunity-boosting properties.,India,India,Immunity enhancement,Medicinal cultivation,Used in Ayurveda,Non-toxic,Avoid overuse,TRUE
Brahmi,Bacopa monnieri,Plantaginaceae,Bacopa,monnieri,herb,perennial,creeping,Brahmi is a creeping herb used for cognitive enhancement and mental clarity.,India,Tropics,Memory enhancement,Medicinal herb,Used in Ayurveda,Non-toxic,None,TRUE
Peepal,Ficus religiosa,Moraceae,Ficus,religiosa,tree,perennial,spreading,Peepal is a sacred tree revered for ecological and medicinal importance.,India,Indian Subcontinent,Respiratory treatments,Agroforestry,Sacred tree,Non-toxic,Large root spread,TRUE
Banyan,Ficus benghalensis,Moraceae,Ficus,benghalensis,tree,perennial,spreading,Banyan is a massive tree known for aerial roots and cultural significance.,India,India,Traditional remedies,Agroforestry,National tree of India,Non-toxic,Requires large space,TRUE
Tulip,Tulipa gesneriana,Liliaceae,Tulipa,gesneriana,herb,perennial,upright,Tulip is a bulbous flowering plant cultivated for ornamental purposes.,Central Asia,Worldwide,None,Ornamental floriculture,Symbol of love,Bulbs mildly toxic,Avoid ingestion,TRUE
Ashoka Tree,Saraca asoca,Fabaceae,Saraca,asoca,tree,perennial,upright,Evergreen tree valued in Ayurveda for women’s health,Indian Subcontinent,India,Used in gynecological disorders and uterine health,Ornamental avenue tree,Sacred in Indian traditions,Non toxic,Bark harvesting should be sustainable,TRUE
Arjuna Tree,Terminalia arjuna,Combretaceae,Terminalia,arjuna,tree,perennial,upright,Large deciduous tree with medicinal bark,India,Riverbanks across India,Cardiotonic and supportive in heart disorders,Agroforestry and shade tree,Associated with river ecosystems,Non toxic,Use under medical supervision,TRUE
Indian Gooseberry,Phyllanthus emblica,Phyllanthaceae,Phyllanthus,emblica,tree,perennial,upright,Fruit-bearing tree rich in antioxidants,India,India,Immunity booster and digestive tonic,Fruit cultivation,Highly revered in Ayurveda,Non toxic,None,TRUE
Vasaka,Justicia adhatoda,Acanthaceae,Justicia,adhatoda,shrub,perennial,spreading,Evergreen shrub with medicinal leaves,India,India,Respiratory ailments and cough remedies,Medicinal hedges,Traditional household remedy,Non toxic,Not recommended during pregnancy,TRUE
Shatavari,Asparagus racemosus,Asparagaceae,Asparagus,racemosus,climber,perennial,climbing,Tuberous climber used in rejuvenation therapies,India,India,Women’s reproductive health and vitality,Medicinal root farming,Rasayana herb in Ayurveda,Non toxic,Use under guidance,TRUE
Kalmegh,Andrographis paniculata,Acanthaceae,Andrographis,paniculata,herb,annual,upright,Bitter herb widely used for liver support,India,India,Liver tonic and immune support,Medicinal herb cultivation,Known as King of Bitters,Non toxic,Excess use may cause gastric upset,TRUE
Punarnava,Boerhavia diffusa,Nyctaginaceae,Boerhavia,diffusa,herb,perennial,spreading,Low-growing herb with diuretic properties,India,India,Supports kidney and urinary health,Ground cover medicinal herb,Classical Ayurvedic herb,Non toxic,None,TRUE
Bhringraj,Eclipta prostrata,Asteraceae,Eclipta,prostrata,herb,annual,spreading,Moisture-loving herb used for liver and hair health,India,India,Liver support and hair growth formulations,Medicinal herb farming,Popular in hair oils,Non toxic,None,TRUE
Gudmar,Gymnema sylvestre,Apocynaceae,Gymnema,sylvestre,climber,perennial,climbing,Woody climber known for sugar regulation,India,Central and Southern India,Supports blood sugar balance,Medicinal plantations,Known as sugar destroyer,Non toxic,Monitor glucose levels,TRUE
Haritaki,Terminalia chebula,Combretaceae,Terminalia,chebula,tree,perennial,upright,Deciduous tree with medicinal fruits,India,India,Digestive support and detoxification,Agroforestry,Key ingredient of Triphala,Non toxic,None,TRUE
Bibhitaki,Terminalia bellirica,Combretaceae,Terminalia,bellirica,tree,perennial,upright,Large tree producing medicinal fruits,India,India,Respiratory and digestive formulations,Forest farming,Part of Triphala formulation,Non toxic,None,TRUE
Kutki,Picrorhiza kurroa,Plantaginaceae,Picrorhiza,kurroa,herb,perennial,upright,High-altitude Himalayan medicinal herb,Himalayan Region,India,Liver and fever management,Medicinal herb cultivation,Used in classical texts,Non toxic,Cold climate only,TRUE
Daruharidra,Berberis aristata,Berberidaceae,Berberis,aristata,shrub,perennial,spreading,Spiny shrub with yellow medicinal roots,India,Himalayan foothills,Antimicrobial and anti-inflammatory,Medicinal hedges,Folk medicine plant,Non toxic,Thorns present,TRUE
Manjistha,Rubia cordifolia,Rubiaceae,Rubia,cordifolia,climber,perennial,climbing,Climbing herb valued for blood purification,India,India,Blood detoxification and skin health,Dye plant,Used in Ayurveda and textiles,Non toxic,None,TRUE
Nagarmotha,Cyperus rotundus,Cyperaceae,Cyperus,rotundus,herb,perennial,spreading,Aromatic sedge with medicinal rhizomes,India,India,Digestive and anti-inflammatory uses,Soil binding plant,Used in traditional medicine,Non toxic,None,TRUE
Vidari,Pueraria tuberosa,Fabaceae,Pueraria,tuberosa,climber,perennial,climbing,Tuberous climber used as rejuvenative tonic,India,India,Nourishing and strength-promoting,Medicinal tuber cultivation,Rasayana herb,Non toxic,Harvest mature tubers only,TRUE
Atibala,Abutilon indicum,Malvaceae,Abutilon,indicum,shrub,perennial,spreading,Soft wooded shrub with medicinal leaves,India,India,Nervine tonic and anti-inflammatory,Medicinal hedges,Folk medicine plant,Non toxic,None,TRUE
Bala,Sida cordifolia,Malvaceae,Sida,cordifolia,herb,perennial,upright,Herb used in strength and vitality formulations,India,India,Muscle and nerve strength,Medicinal herb farming,Classical Ayurvedic herb,Non toxic,None,TRUE
Chitrak,Plumbago zeylanica,Plumbaginaceae,Plumbago,zeylanica,shrub,perennial,spreading,Shrub with pungent medicinal roots,India,India,Digestive stimulant and metabolism support,Medicinal cultivation,Used cautiously in Ayurveda,Toxic in excess,Use strictly under guidance,TRUE
Kantakari,Solanum xanthocarpum,Solanaceae,Solanum,xanthocarpum,shrub,perennial,spreading,Spiny shrub used in respiratory disorders,India,India,Cough and asthma support,Medicinal hedges,Part of Dashamoola group,Mildly toxic,Avoid excessive use,TRUE
Bakul,Mimusops elengi,Sapotaceae,Mimusops,elengi,tree,perennial,upright,Evergreen tree with aromatic flowers,India,India,Oral health and wound healing,Avenue and shade tree,Sacred in temples,Non toxic,None,TRUE
Kachnar,Bauhinia variegata,Fabaceae,Bauhinia,variegata,tree,perennial,upright,Deciduous flowering medicinal tree,India,India,Thyroid support and digestive health,Ornamental tree,Used in traditional cooking,Non toxic,None,TRUE
Aparajita,Clitoria ternatea,Fabaceae,Clitoria,ternatea,climber,perennial,climbing,Fast growing climber with blue flowers,India,India,Memory enhancement and stress relief,Ornamental climber,Used in rituals,Non toxic,None,TRUE
Eranda,Ricinus communis,Euphorbiaceae,Ricinus,communis,shrub,perennial,upright,Large shrub with medicinal oil seeds,Africa (naturalized),India,Anti-inflammatory and laxative,Oilseed crop,Used in Ayurveda,Toxic seeds,Do not ingest seeds,TRUE
Jivanti,Leptadenia reticulata,Apocynaceae,Leptadenia,reticulata,climber,perennial,climbing,Woody climber used as vitality tonic,India,India,Rejuvenative and lactation support,Medicinal farming,Rasayana herb,Non toxic,None,TRUE
Kiratatikta,Swertia chirayita,Gentianaceae,Swertia,chirayita,herb,annual,upright,Bitter Himalayan medicinal herb,Himalayas,India,Fever and liver disorders,Medicinal herb cultivation,Classical bitter tonic,Non toxic,Cold climate only,TRUE
Brahmadandi,Echinops echinatus,Asteraceae,Echinops,echinatus,herb,perennial,upright,Spiny herb with medicinal roots,India,India,Anti-inflammatory and pain relief,Wasteland herb,Folk medicine,Toxic in excess,Use cautiously,TRUE
Danti,Baliospermum montanum,Euphorbiaceae,Baliospermum,montanum,shrub,perennial,upright,Forest shrub with purgative roots,India,India,Detoxification and bowel cleansing,Medicinal plantations,Used cautiously,Toxic in excess,Medical supervision,TRUE
Jyotishmati,Celastrus paniculatus,Celastraceae,Celastrus,paniculatus,climber,perennial,climbing,Woody climber with medicinal seeds,India,India,Memory and cognitive support,Medicinal seed farming,Known as intellect tree,Non toxic,None,TRUE
Aragvadha,Cassia fistula,Fabaceae,Cassia,fistula,tree,perennial,upright,Golden flowering tree with medicinal pods,India,India,Mild laxative and detox,Avenue tree,Cultural significance in festivals,Non toxic,None,TRUE
Babool,Vachellia nilotica,Fabaceae,Vachellia,nilotica,tree,perennial,upright,Thorny tree with medicinal bark,India,India,Oral and skin health,Agroforestry,Traditional rural medicine,Non toxic,Thorns present,TRUE
Saptaparni,Alstonia scholaris,Apocynaceae,Alstonia,scholaris,tree,perennial,upright,Tall evergreen medicinal tree,India,India,Respiratory and fever support,Avenue planting,Sacred associations,Non toxic,None,TRUE
Bharangi,Clerodendrum serratum,Lamiaceae,Clerodendrum,serratum,shrub,perennial,spreading,Medicinal shrub with bitter roots,India,India,Respiratory and anti-inflammatory,Medicinal hedges,Used in Dashamoola,Non toxic,None,TRUE
Chakramarda,Senna tora,Fabaceae,Senna,tora,herb,annual,upright,Annual herb with medicinal seeds,India,India,Skin disorders and digestion,Weed management,Used in folk medicine,Non toxic,None,TRUE
Sariva,Hemidesmus indicus,Apocynaceae,Hemidesmus,indicus,climber,perennial,climbing,Slender climber with aromatic roots,India,India,Blood purification and cooling tonic,Medicinal root farming,Sacred in Ayurveda,Non toxic,None,TRUE
Nirgundi,Vitex negundo,Lamiaceae,Vitex,negundo,shrub,perennial,spreading,Aromatic shrub with medicinal leaves,India,India,Pain relief and inflammation,Medicinal hedges,Used in households,Non toxic,None,TRUE
Guggul,Commiphora wightii,Burseraceae,Commiphora,wightii,shrub,perennial,upright,Resin producing desert shrub,India,India,Cholesterol and joint health,Resin harvesting,Sacred medicinal resin,Non toxic,Sustainable tapping,TRUE
Patha,Cissampelos pareira,Menispermaceae,Cissampelos,pareira,climber,perennial,climbing,Slender climber used in detox therapies,India,India,Fever and digestive disorders,Medicinal cultivation,Classical Ayurvedic herb,Non toxic,None,TRUE
Gokshura,Tribulus terrestris,Zygophyllaceae,Tribulus,terrestris,herb,annual,spreading,Prostrate herb with spiny fruits,India,India,Urinary and reproductive health,Medicinal herb farming,Used in formulations,Non toxic,Spines present,TRUE
Rasna,Pluchea lanceolata,Asteraceae,Pluchea,lanceolata,herb,perennial,spreading,Aromatic herb used for joint pain,India,India,Anti-inflammatory and analgesic,Medicinal herb cultivation,Folk medicine,Non toxic,None,TRUE
Shankhapushpi,Convolvulus pluricaulis,Convolvulaceae,Convolvulus,pluricaulis,herb,perennial,spreading,Prostrate herb used as a brain tonic,India,India,Cognitive enhancement and anxiety reduction,Medicinal herb cultivation,Revered as a medhya rasayana,Non toxic,None,TRUE
Tagar,Valeriana jatamansi,Caprifoliaceae,Valeriana,jatamansi,herb,perennial,upright,Aromatic Himalayan herb with sedative roots,Himalayas,India,Sleep disorders and nervous calmative,Medicinal root farming,Used in traditional medicine,Non toxic,Cold climate only,TRUE
Musta,Cyperus scariosus,Cyperaceae,Cyperus,scariosus,herb,perennial,spreading,Aromatic sedge with medicinal rhizomes,India,India,Digestive and carminative uses,Medicinal herb farming,Used in Ayurveda,Non toxic,None,TRUE
Bhumyamalaki,Phyllanthus niruri,Phyllanthaceae,Phyllanthus,niruri,herb,annual,upright,Small herb used for liver support,India,India,Liver disorders and detoxification,Medicinal herb cultivation,Important in folk medicine,Non toxic,None,TRUE
Kokilaksha,Asteracantha longifolia,Acanthaceae,Asteracantha,longifolia,herb,annual,upright,Spiny aquatic herb used for urinary health,India,India,Diuretic and kidney support,Medicinal herb farming,Classical Ayurvedic herb,Non toxic,Spines present,TRUE
Makandi,Coleus forskohlii,Lamiaceae,Coleus,forskohlii,herb,perennial,upright,Tuberous herb valued for metabolic support,India,India,Supports cardiovascular and metabolic health,Medicinal tuber cultivation,Used in Ayurveda,Non toxic,None,TRUE
Kakamachi,Solanum nigrum,Solanaceae,Solanum,nigrum,herb,annual,upright,Small herb with medicinal berries,India,India,Liver support and detoxification,Medicinal herb cultivation,Mentioned in classical texts,Mildly toxic unripe berries,Use ripe parts only,TRUE
Parpataka,Fumaria indica,Papaveraceae,Fumaria,indica,herb,annual,spreading,Delicate herb used for fever management,India,India,Fever and digestive disorders,Medicinal herb farming,Traditional use,Non toxic,None,TRUE
Banafsha,Viola odorata,Violaceae,Viola,odorata,herb,perennial,spreading,Low-growing fragrant medicinal herb,Himalayas,India,Respiratory and soothing remedies,Medicinal herb cultivation,Used in Unani and Ayurveda,Non toxic,None,TRUE
Tejpat,Cinnamomum tamala,Lauraceae,Cinnamomum,tamala,tree,perennial,upright,Aromatic tree with medicinal leaves,India,India,Digestive aid and metabolic support,Spice cultivation,Culinary and medicinal value,Non toxic,None,TRUE
Pippali,Piper longum,Piperaceae,Piper,longum,climber,perennial,climbing,Slender climber with medicinal fruits,India,India,Respiratory and digestive tonic,Medicinal spice farming,Used in Trikatu,Non toxic,Use moderately,TRUE
Chavya,Piper chaba,Piperaceae,Piper,chaba,climber,perennial,climbing,Aromatic climber with pungent roots,India,India,Digestion and metabolism support,Medicinal cultivation,Used in Ayurveda,Non toxic,None,TRUE
Kapikacchu,Mucuna pruriens,Fabaceae,Mucuna,pruriens,climber,annual,climbing,Climber with medicinal seeds for neurology,India,India,Nervine tonic and vitality,Medicinal seed cultivation,Used in classical medicine,Toxic hairs on pods,Avoid contact,TRUE
Kush,Desmostachya bipinnata,Poaceae,Desmostachya,bipinnata,grass,perennial,tufted,Sacred grass with medicinal roots,India,India,Urinary and detoxifying uses,Soil stabilization,Sacred in rituals,Non toxic,None,TRUE
Ikshu,Saccharum officinarum,Poaceae,Saccharum,officinarum,grass,perennial,clumping,Tall grass cultivated for juice and medicine,India,India,Nourishing and cooling tonic,Sugarcane farming,Cultural importance,Non toxic,Diabetics caution,TRUE
Lodhra,Symphocos racemosa,Symphocaceae,Symphocos,racemosa,tree,perennial,upright,Evergreen medicinal tree with bark use,India,India,Gynecological and skin disorders,Medicinal tree cultivation,Ayurvedic importance,Non toxic,Sustainable harvesting,TRUE
Priyangu,Callicarpa macrophylla,Lamiaceae,Callicarpa,macrophylla,shrub,perennial,spreading,Shrub with medicinal flowers and leaves,India,India,Anti-inflammatory and skin care,Medicinal hedges,Traditional use,Non toxic,None,TRUE
Kankola,Piper cubeba,Piperaceae,Piper,cubeba,climber,perennial,climbing,Aromatic climber with medicinal berries,India,India,Respiratory and urinary support,Medicinal spice cultivation,Used in formulations,Non toxic,None,TRUE
Meshashringi,Mucuna monosperma,Fabaceae,Mucuna,monosperma,climber,perennial,climbing,Woody climber with medicinal seeds,India,India,Nervine and strength tonic,Medicinal cultivation,Traditional medicine,Toxic hairs on pods,Avoid contact,TRUE
Money Plant,Epipremnum aureum,Araceae,Epipremnum,aureum,climber,perennial,trailing,Popular indoor vine with glossy leaves,Southeast Asia,India (cultivated),Mild air purification,Indoor ornamental,Symbol of prosperity,Mildly toxic,Keep away from pets,TRUE
Snake Plant,Dracaena trifasciata,Asparagaceae,Dracaena,trifasciata,succulent,perennial,upright,Hardy indoor plant with sword-like leaves,Africa,India (cultivated),Air quality improvement,Indoor ornamental,Feng shui plant,Mildly toxic,Avoid ingestion,TRUE
Areca Palm,Dypsis lutescens,Arecaceae,Dypsis,lutescens,palm,perennial,clumping,Graceful palm used indoors and outdoors,Madagascar,India (cultivated),Air purification,Landscape and indoor plant,Decorative plant,Non toxic,None,TRUE
Peace Lily,Spathiphyllum wallisii,Araceae,Spathiphyllum,wallisii,herb,perennial,clumping,Flowering indoor plant with white spathes,Central America,India (cultivated),Air purification,Indoor ornamental,Popular houseplant,Toxic to pets,Avoid ingestion,TRUE
Spider Plant,Chlorophytum comosum,Asparagaceae,Chlorophytum,comosum,herb,perennial,spreading,Fast growing hanging plant,Africa,India (cultivated),Air purification,Hanging baskets,Common houseplant,Non toxic,None,TRUE
Rubber Plant,Ficus elastica,Moraceae,Ficus,elastica,tree,perennial,upright,Large-leaved indoor foliage plant,India,India,Mild air purification,Indoor ornamental,Popular decor plant,Mildly toxic,Avoid sap contact,TRUE
ZZ Plant,Zamioculcas zamiifolia,Araceae,Zamioculcas,zamiifolia,herb,perennial,upright,Extremely hardy low-light plant,Africa,India (cultivated),Air quality improvement,Indoor ornamental,Modern decor plant,Toxic,Keep away from pets,TRUE
Jade Plant,Crassula ovata,Crassulaceae,Crassula,ovata,succulent,perennial,branching,Succulent with thick fleshy leaves,South Africa,India (cultivated),Minor traditional use,Succulent nursery,Feng shui plant,Mildly toxic,Avoid ingestion,TRUE
Croton,Codiaeum variegatum,Euphorbiaceae,Codiaeum,variegatum,shrub,perennial,bushy,Colorful foliage shrub,Indonesia,India (cultivated),None,Ornamental hedges,Decorative plant,Toxic sap,Avoid skin contact,TRUE
Anthurium,Anthurium andraeanum,Araceae,Anthurium,andraeanum,herb,perennial,clumping,Glossy-leaved flowering houseplant,Colombia,India (cultivated),None,Indoor flowering plant,Gift plant,Toxic,Avoid ingestion,TRUE
Aglaonema,Aglaonema commutatum,Araceae,Aglaonema,commutatum,herb,perennial,clumping,Low-light tolerant foliage plant,Philippines,India (cultivated),Air purification,Indoor ornamental,Lucky plant,Mildly toxic,Avoid pets,TRUE
Aloe Vera,Aloe vera,Asphodelaceae,Aloe,vera,succulent,perennial,rosette,Succulent with fleshy medicinal leaves,Arabian Peninsula,India,Mild medicinal use,Medicinal nursery,Common household plant,Non toxic,None,TRUE
Tulsi (Ornamental),Ocimum basilicum,Lamiaceae,Ocimum,basilicum,herb,annual,upright,Aromatic basil grown ornamentally,India,India,Minor herbal use,Herb nursery,Religious significance,Non toxic,None,TRUE
Bougainvillea,Bougainvillea glabra,Nyctaginaceae,Bougainvillea,glabra,climber,perennial,climbing,Hardy flowering climber,South America,India (cultivated),None,Landscape climber,Popular garden plant,Non toxic,Thorns present,TRUE
Ixora,Ixora coccinea,Rubiaceae,Ixora,coccinea,shrub,perennial,bushy,Evergreen flowering shrub,India,India,Minor traditional use,Ornamental hedges,Temple offerings,Non toxic,None,TRUE
Hibiscus (Ornamental),Hibiscus rosa-sinensis,Malvaceae,Hibiscus,rosa-sinensis,shrub,perennial,bushy,Large flowering ornamental shrub,Asia,India,Minor traditional use,Ornamental nursery,Religious use,Non toxic,None,TRUE
Kalanchoe,Kalanchoe blossfeldiana,Crassulaceae,Kalanchoe,blossfeldiana,succulent,perennial,upright,Flowering succulent plant,Madagascar,India (cultivated),None,Succulent nursery,Decorative gift plant,Toxic to pets,Avoid ingestion,TRUE
Coleus (Ornamental),Coleus scutellarioides,Lamiaceae,Coleus,scutellarioides,herb,perennial,bushy,Colorful foliage bedding plant,Southeast Asia,India (cultivated),None,Landscape foliage,Popular nursery item,Mildly toxic,Avoid ingestion,TRUE
Petunia,Petunia hybrida,Solanaceae,Petunia,hybrida,herb,annual,spreading,Seasonal flowering plant,South America,India (cultivated),None,Seasonal nursery,Balcony plant,Non toxic,None,TRUE
Portulaca,Portulaca grandiflora,Portulacaceae,Portulaca,grandiflora,herb,annual,spreading,Drought tolerant flowering groundcover,South America,India (cultivated),None,Seasonal bedding plant,Popular summer flower,Non toxic,None,TRUE
Golden Pothos Marble,Epipremnum pinnatum,Araceae,Epipremnum,pinnatum,climber,perennial,trailing,Fast growing ornamental climber with variegated leaves,Asia,India (cultivated),Minor air purification,Indoor foliage plant,Popular decor plant,Mildly toxic,Keep from pets,TRUE
Philodendron Heartleaf,Philodendron hederaceum,Araceae,Philodendron,hederaceum,climber,perennial,trailing,Low maintenance indoor trailing plant,Central America,India (cultivated),None,Indoor foliage plant,Popular houseplant,Toxic,Avoid ingestion,TRUE
Monstera,Monstera deliciosa,Araceae,Monstera,deliciosa,climber,perennial,spreading,Large-leaf tropical ornamental plant,Central America,India (cultivated),None,Premium indoor plant,Modern decor plant,Toxic to pets,Avoid ingestion,TRUE
Chinese Evergreen Pink,Aglaonema pink,Araceae,Aglaonema,pink,herb,perennial,clumping,Colorful low-light indoor foliage plant,Hybrid,India (cultivated),Air quality improvement,Indoor foliage plant,Lucky plant,Mildly toxic,Avoid pets,TRUE
