common_name,scientific_name,family,genus,species,plant_type,lifecycle,growth_habit,description,origin_region,native_range,medicinal_uses,agricultural_uses,cultural_significance,toxicity,precautions,is_published
Boston Fern,Nephrolepis exaltata,Nephrolepidaceae,Nephrolepis,exaltata,fern,perennial,arching,Lush fern for hanging baskets,Americas,India (cultivated),Air humidity improvement,Hanging ornamental,Classic indoor fern,Non toxic,None,TRUE
Calathea Orbifolia,Calathea orbifolia,Marantaceae,Calathea,orbifolia,herb,perennial,clumping,Striped foliage prayer plant,South America,India (cultivated),None,Premium indoor plant,Decorative foliage,Non toxic,None,TRUE
Dieffenbachia,Dieffenbachia seguine,Araceae,Dieffenbachia,seguine,herb,perennial,upright,Large-leaf indoor foliage plant,Central America,India (cultivated),None,Indoor ornamental,Office plant,Toxic sap,Avoid ingestion,TRUE
Lucky Bamboo,Dracaena sanderiana,Asparagaceae,Dracaena,sanderiana,shrub,perennial,upright,Popular feng shui indoor plant,Africa,India (cultivated),None,Indoor ornamental,Feng shui plant,Toxic to pets,Avoid ingestion,TRUE
Schefflera Dwarf,Schefflera arboricola,Araliaceae,Schefflera,arboricola,shrub,perennial,branching,Glossy-leaved indoor shrub,Taiwan,India (cultivated),None,Indoor landscape plant,Office decor,Mildly toxic,Avoid ingestion,TRUE
Bamboo Palm,Chamaedorea seifrizii,Arecaceae,Chamaedorea,seifrizii,palm,perennial,clumping,Compact palm for indoor use,Central America,India (cultivated),Air purification,Indoor palm plant,Decorative palm,Non toxic,None,TRUE
Fiddle Leaf Fig,Ficus lyrata,Moraceae,Ficus,lyrata,tree,perennial,upright,Large-leaf statement indoor plant,Africa,India (cultivated),None,Premium indoor plant,Modern decor,Mildly toxic,Avoid sap,TRUE
Syngonium Arrowhead,Syngonium podophyllum,Araceae,Syngonium,podophyllum,climber,perennial,trailing,Fast growing arrow-shaped foliage plant,Central America,India (cultivated),None,Indoor foliage plant,Popular houseplant,Toxic,Avoid pets,TRUE
Peperomia,Peperomia obtusifolia,Piperaceae,Peperomia,obtusifolia,herb,perennial,compact,Compact glossy-leaf indoor plant,South America,India (cultivated),None,Indoor foliage plant,Tabletop plant,Non toxic,None,TRUE
Ficus Bonsai,Ficus microcarpa,Moraceae,Ficus,microcarpa,tree,perennial,branching,Bonsai-style indoor tree,Asia,India (cultivated),None,Bonsai nursery,Feng shui use,Mildly toxic,Avoid sap,TRUE
Areca Mini,Chrysalidocarpus lutescens,Arecaceae,Chrysalidocarpus,lutescens,palm,perennial,clumping,Compact areca variety for pots,Madagascar,India (cultivated),Air purification,Indoor palm plant,Decorative palm,Non toxic,None,TRUE
Tradescantia Purple,Tradescantia pallida,Commelinaceae,Tradescantia,pallida,herb,perennial,trailing,Purple-leaf fast growing groundcover,Mexico,India (cultivated),None,Hanging baskets,Color contrast plant,Non toxic,None,TRUE
Begonia Rex,Begonia rex,Begoniaceae,Begonia,rex,herb,perennial,clumping,Textured ornamental foliage plant,Asia,India (cultivated),None,Indoor ornamental,Decorative foliage,Mildly toxic,Avoid ingestion,TRUE
Dracaena Marginata,Dracaena marginata,Asparagaceae,Dracaena,marginata,tree,perennial,upright,Slender cane indoor plant,Madagascar,India (cultivated),Air quality improvement,Indoor ornamental,Office plant,Toxic to pets,Avoid ingestion,TRUE
Pilea Coin Plant,Pilea peperomioides,Urticaceae,Pilea,peperomioides,herb,perennial,upright,Round-leaf modern houseplant,China,India (cultivated),None,Indoor foliage plant,Trendy decor,Non toxic,None,TRUE
"Fittonia,Nerve Plant",Fittonia albivenis,Acanthaceae,Fittonia,albivenis,herb,perennial,spreading,Veined foliage humidity-loving plant,South America,India (cultivated),None,Indoor foliage plant,Decorative terrariums,Non toxic,None,TRUE
Boston Ivy,Parthenocissus tricuspidata,Vitaceae,Parthenocissus,tricuspidata,climber,perennial,climbing,Fast growing wall climber with seasonal color,East Asia,India (cultivated),None,Vertical landscaping,Facade greening,Non toxic,None,TRUE
English Ivy,Hedera helix,Araliaceae,Hedera,helix,climber,perennial,trailing,Evergreen trailing foliage plant,Europe,India (cultivated),Minor traditional use,Indoor foliage plant,Classic houseplant,Toxic,Keep away from pets,TRUE
Asparagus Fern,Asparagus densiflorus,Asparagaceae,Asparagus,densiflorus,fern-like,perennial,arching,Soft fern-like ornamental plant,Africa,India (cultivated),None,Hanging baskets,Decorative foliage,Toxic to pets,Avoid ingestion,TRUE
Norfolk Island Pine,Araucaria heterophylla,Araucariaceae,Araucaria,heterophylla,tree,perennial,upright,Symmetrical indoor conifer,Norfolk Island,India (cultivated),None,Indoor ornamental,Christmas decor plant,Non toxic,None,TRUE
Bottle Palm,Hyophorbe lagenicaulis,Arecaceae,Hyophorbe,lagenicaulis,palm,perennial,upright,Slow growing ornamental palm,Mauritius,India (cultivated),None,Landscape palm,Premium palm,Non toxic,None,TRUE
Phoenix Palm Mini,Phoenix roebelenii,Arecaceae,Phoenix,roebelenii,palm,perennial,clumping,Compact date palm for pots,Asia,India (cultivated),None,Landscape palm,Popular nursery palm,Non toxic,Spines present,TRUE
Cordyline Red,Cordyline fruticosa,Asparagaceae,Cordyline,fruticosa,shrub,perennial,upright,Colorful tropical foliage shrub,Southeast Asia,India (cultivated),None,Landscape foliage,Decorative plant,Non toxic,None,TRUE
Gardenia,Gardenia jasminoides,Rubiaceae,Gardenia,jasminoides,shrub,perennial,bushy,Fragrant flowering shrub,Asia,India (cultivated),Minor traditional use,Ornamental shrub,Perfume gardens,Non toxic,None,TRUE
Vinca Sadabahar,Catharanthus roseus,Apocynaceae,Catharanthus,roseus,herb,perennial,bushy,Hardy flowering bedding plant,Madagascar,India,Minor medicinal value,Seasonal bedding,Common garden flower,Toxic if ingested,Avoid ingestion,TRUE
Geranium,Pelargonium zonale,Geraniaceae,Pelargonium,zonale,herb,perennial,bushy,Colorful flowering pot plant,South Africa,India (cultivated),None,Seasonal flowering plant,Balcony gardens,Non toxic,None,TRUE
Chrysanthemum,Chrysanthemum indicum,Asteraceae,Chrysanthemum,indicum,herb,perennial,bushy,Popular winter flowering plant,Asia,India,Minor traditional use,Seasonal flowers,Festival use,Non toxic,None,TRUE
Dwarf Ixora,Ixora dwarf,Rubiaceae,Ixora,dwarf,shrub,perennial,compact,Compact flowering shrub,India,India,None,Ornamental hedges,Temple gardens,Non toxic,None,TRUE
Ruellia,Ruellia simplex,Acanthaceae,Ruellia,simplex,herb,perennial,clumping,Low maintenance flowering plant,Mexico,India (cultivated),None,Landscape borders,Hardy groundcover,Non toxic,None,TRUE
Duranta Golden,Duranta erecta,Euphorbiaceae,Duranta,erecta,shrub,perennial,bushy,Golden foliage hedge plant,Americas,India (cultivated),None,Hedge plant,Popular landscape shrub,Toxic berries,Avoid ingestion,TRUE
Pandanus,Pandanus amaryllifolius,Pandanaceae,Pandanus,amaryllifolius,shrub,perennial,clumping,Aromatic leaf plant for gardens,Southeast Asia,India (cultivated),Minor culinary use,Kitchen garden plant,Cultural cooking use,Non toxic,None,TRUE
Jatropha,Jatropha integerrima,Euphorbiaceae,Jatropha,integerrima,shrub,perennial,bushy,Flowering ornamental shrub,Caribbean,India (cultivated),None,Landscape shrub,Butterfly attractor,Toxic sap,Avoid contact,TRUE
Allamanda,Allamanda cathartica,Apocynaceae,Allamanda,cathartica,climber,perennial,climbing,Showy yellow flowering climber,South America,India (cultivated),None,Landscape climber,Popular villa plant,Toxic sap,Avoid ingestion,TRUE
Blue Pea Ornamental,Clitoria ternatea ornamental,Fabaceae,Clitoria,ternatea,climber,perennial,climbing,Ornamental flowering climber,India,India,Minor traditional use,Decorative climber,Ritual plant,Non toxic,None,TRUE
"Balsam,Garden Balsam",Impatiens balsamina,Balsaminaceae,Impatiens,balsamina,herb,annual,upright,Easy seasonal flowering plant,Asia,India,None,Seasonal nursery,Rainy season flower,Non toxic,None,TRUE
Cosmos,Cosmos bipinnatus,Asteraceae,Cosmos,bipinnatus,herb,annual,upright,Light airy flowering plant,Mexico,India (cultivated),None,Seasonal flowering,Pollinator friendly,Non toxic,None,TRUE
Rubber Vine,Ficus benghalensis dwarf,Moraceae,Ficus,benghalensis,tree,perennial,spreading,Dwarf banyan variety for pots,India,India,None,Bonsai and patio plant,Sacred association,None,None,TRUE
Chinese Fan Palm,Livistona chinensis,Arecaceae,Livistona,chinensis,palm,perennial,upright,Fan-leaf ornamental palm,Asia,India (cultivated),None,Landscape palm,Popular avenue palm,None,None,TRUE
Bottlebrush,Callistemon citrinus,Myrtaceae,Callistemon,citrinus,shrub,perennial,upright,Red brush-like flowering shrub,Australia,India (cultivated),Minor traditional use,Landscape shrub,Attracts birds,None,None,TRUE
Plumeria (Frangipani),Plumeria rubra,Apocynaceae,Plumeria,rubra,tree,perennial,branching,Fragrant flowering ornamental tree,Central America,India (cultivated),Minor traditional use,Temple gardens,Religious importance,Toxic sap,Avoid contact,TRUE
Adenium (Desert Rose),Adenium obesum,Apocynaceae,Adenium,obesum,succulent,perennial,caudex,Succulent flowering caudex plant,Africa,India (cultivated),None,Succulent nursery,Popular bonsai,Toxic sap,Avoid ingestion,TRUE
Rain Lily,Zephyranthes candida,Amaryllidaceae,Zephyranthes,candida,bulb,perennial,clumping,Monsoon flowering bulb plant,South America,India (cultivated),None,Bulb nursery,Seasonal interest,Toxic bulbs,Avoid ingestion,TRUE
Canna Lily,Canna indica,Cannaceae,Canna,indica,herb,perennial,upright,Tall flowering ornamental plant,India,India,Minor traditional use,Landscape bedding,Common garden plant,None,None,TRUE
Pentas,Pentas lanceolata,Rubiaceae,Pentas,lanceolata,shrub,perennial,bushy,Star-shaped flowering shrub,Africa,India (cultivated),None,Butterfly garden,Pollinator friendly,None,None,TRUE
Verbena,Verbena hybrida,Verbenaceae,Verbena,hybrida,herb,annual,spreading,Seasonal flowering bedding plant,Hybrid,India (cultivated),None,Seasonal nursery,Balcony plant,None,None,TRUE
Gaillardia,Gaillardia pulchella,Asteraceae,Gaillardia,pulchella,herb,annual,upright,Heat tolerant daisy-like flower,North America,India (cultivated),None,Seasonal flower,Hardy bedding,None,None,TRUE
Gazania,Gazania rigens,Asteraceae,Gazania,rigens,herb,perennial,spreading,Drought tolerant groundcover flower,South Africa,India (cultivated),None,Landscape bedding,Low maintenance,None,None,TRUE
Salvia Ornamental,Salvia splendens,Lamiaceae,Salvia,splendens,herb,annual,upright,Red spike flowering plant,Brazil,India (cultivated),None,Seasonal nursery,Popular flower,None,None,TRUE
Vinca Vine,Vinca major,Apocynaceae,Vinca,major,climber,perennial,trailing,Evergreen groundcover vine,Europe,India (cultivated),Minor traditional use,Groundcover plant,Low maintenance,Toxic if ingested,Avoid ingestion,TRUE
Lantana,Lantana camara,Verbenaceae,Lantana,camara,shrub,perennial,spreading,Hardy flowering shrub,Central America,India (naturalized),Minor traditional use,Hedge plant,Butterfly attractor,Toxic berries,Avoid ingestion,TRUE
Dusty Miller,Senecio cineraria,Asteraceae,Senecio,cineraria,herb,perennial,spreading,Silver foliage ornamental plant,Mediterranean,India (cultivated),None,Color contrast bedding,Decorative foliage,Toxic if ingested,Avoid ingestion,TRUE
Celosia,Celosia argentea,Amaranthaceae,Celosia,argentea,herb,annual,upright,Plume-like flowering plant,Asia,India,None,Seasonal flower,Festival use,None,None,TRUE
Balsam Vine,Clerodendrum thomsoniae,Lamiaceae,Clerodendrum,thomsoniae,climber,perennial,climbing,Showy red-white flowering climber,Africa,India (cultivated),None,Decorative climber,Ornamental vine,None,None,TRUE
Portulaca Moss Rose,Portulaca oleracea,Portulacaceae,Portulaca,oleracea,herb,annual,spreading,Succulent groundcover flower,Worldwide,India,None,Groundcover bedding,Low water use,None,None,TRUE
"Tithonia,Mexican Sunflower",Tithonia diversifolia,Asteraceae,Tithonia,diversifolia,shrub,annual,upright,Large bright sunflower-like blooms,Central America,India (cultivated),None,Seasonal flower,Pollinator plant,None,None,TRUE
Coreopsis,Coreopsis tinctoria,Asteraceae,Coreopsis,tinctoria,herb,annual,upright,Long blooming daisy flower,North America,India (cultivated),None,Seasonal nursery,Easy care,None,None,TRUE
Palash,Butea monosperma,Fabaceae,Butea,monosperma,tree,perennial,spreading,Deciduous forest tree with bright orange flowers,India,Indian subcontinent,Used in traditional medicine and dyes,Soil enrichment tree,Sacred in rituals,None,None,TRUE
Mahua,Madhuca longifolia,Sapotaceae,Madhuca,longifolia,tree,perennial,spreading,Forest tree valued for flowers and seeds,India,Central and Eastern India,Flowers used as tonic,Forest livelihood tree,Tribal cultural importance,None,None,TRUE
Neem,Azadirachta indica,Meliaceae,Azadirachta,indica,tree,perennial,upright,Hardy evergreen medicinal tree,India,Indian subcontinent,Widely used medicinal plant,Agroforestry tree,Sacred and medicinal,None,None,TRUE
Sal,Shorea robusta,Dipterocarpaceae,Shorea,robusta,tree,perennial,upright,Dominant forest timber tree,India,Central and Eastern India,Resin used traditionally,Timber forestry,Forest worship,None,None,TRUE
Arjun,Terminalia arjuna,Combretaceae,Terminalia,arjuna,tree,perennial,upright,Riverbank tree with medicinal bark,India,Indian subcontinent,Cardiac tonic,Soil stabilization tree,Sacred to rivers,None,None,TRUE
Jamun,Syzygium cumini,Myrtaceae,Syzygium,cumini,tree,perennial,spreading,Wild fruit tree of forests,India,Indian subcontinent,Diabetes management,Fruit forestry,Cultural food,None,None,TRUE
Bael,Aegle marmelos,Rutaceae,Aegle,marmelos,tree,perennial,upright,Sacred deciduous tree with medicinal fruit,India,India and Nepal,Digestive medicine,Agroforestry,Sacred to Shiva,None,None,TRUE
Haritaki,Terminalia chebula,Combretaceae,Terminalia,chebula,tree,perennial,spreading,Forest tree with medicinal fruit,India,Indian subcontinent,Triphala component,Medicinal forestry,Ayurvedic importance,None,None,TRUE
Bibhitaki,Terminalia bellirica,Combretaceae,Terminalia,bellirica,tree,perennial,upright,Large forest tree with medicinal fruit,India,Indian subcontinent,Respiratory and digestive uses,Medicinal forestry,Ayurvedic significance,None,None,TRUE
Karanj,Pongamia pinnata,Fabaceae,Pongamia,pinnata,tree,perennial,spreading,Nitrogen fixing wild tree,India,Indian subcontinent,Oil used medicinally,Biofuel forestry,Traditional village tree,None,None,TRUE
Peepal,Ficus religiosa,Moraceae,Ficus,religiosa,tree,perennial,spreading,Sacred fig tree of forests,India,Indian subcontinent,Respiratory remedies,Sacred forestry,Highly sacred,None,None,TRUE
Banyan,Ficus benghalensis,Moraceae,Ficus,benghalensis,tree,perennial,spreading,Massive fig tree forming ecosystems,India,Indian subcontinent,Minor traditional use,Shade forestry,Sacred,None,None,TRUE
Amaltas,Cassia fistula,Fabaceae,Cassia,fistula,tree,perennial,upright,Golden flowering forest tree,India,Indian subcontinent,Laxative uses,Forest ornamental,Cultural festivals,None,None,TRUE
Kadamba,Neolamarckia cadamba,Rubiaceae,Neolamarckia,cadamba,tree,perennial,upright,Fast growing riverine forest tree,India,Indian subcontinent,Traditional medicine,Reforestation,Cultural mythology,None,None,TRUE
Amla,Phyllanthus emblica,Phyllanthaceae,Phyllanthus,emblica,tree,perennial,spreading,Wild fruit tree rich in vitamin C,India,Indian subcontinent,Immunity tonic,Forest fruit tree,Sacred,None,None,TRUE
Chir Pine,Pinus roxburghii,Pinaceae,Pinus,roxburghii,tree,perennial,upright,Himalayan conifer forest tree,India,Western Himalayas,Resin use,Timber forestry,Hill ecology,None,None,TRUE
Deodar,Cedrus deodara,Pinaceae,Cedrus,deodara,tree,perennial,upright,Himalayan cedar tree,India,Western Himalayas,Traditional incense use,Timber forestry,Sacred,None,None,TRUE
Kusum,Schleichera oleosa,Sapindaceae,Schleichera,oleosa,tree,perennial,spreading,Dry deciduous forest tree,India,Indian subcontinent,Seed oil medicinal,Lac cultivation,Tribal use,None,None,TRUE
Wild Date Palm,Phoenix sylvestris,Arecaceae,Phoenix,sylvestris,palm,perennial,upright,Wild palm producing sap and sugar,India,Indian subcontinent,Tonic sap use,Sugar production,Rural livelihoods,None,None,TRUE
Tendu,Diospyros melanoxylon,Ebenaceae,Diospyros,melanoxylon,tree,perennial,upright,Forest tree used for leaf harvest,India,Central India,Minor medicinal use,Leaf industry,Tribal economy,None,None,TRUE
Asoka,Saraca asoca,Fabaceae,Saraca,asoca,tree,perennial,upright,Sacred forest tree with medicinal bark,India,Western Ghats and Central India,Gynecological medicine,Forest conservation,Sacred to Hindu traditions,None,None,TRUE
Kachnar,Bauhinia variegata,Fabaceae,Bauhinia,variegata,tree,perennial,spreading,Deciduous forest tree with edible flowers,India,Indian subcontinent,Thyroid and digestive uses,Edible flower harvest,Cultural cuisine,None,None,TRUE
Semal,Bombax ceiba,Malvaceae,Bombax,ceiba,tree,perennial,upright,Tall deciduous forest tree with red flowers,India,Indian subcontinent,Traditional remedies,Silk cotton fiber,Sacred associations,None,None,TRUE
Gular,Ficus racemosa,Moraceae,Ficus,racemosa,tree,perennial,spreading,Wild fig tree with clustered fruits,India,Indian subcontinent,Diabetes and digestive use,Agroforestry,Sacred fig,None,None,TRUE
Khejri,Prosopis cineraria,Fabaceae,Prosopis,cineraria,tree,perennial,upright,Desert keystone tree,India,Thar Desert region,Nutritional and medicinal pods,Agroforestry backbone,Rajasthan state tree,None,None,TRUE
Bel Patra,Aegle marmelos wild,Rutaceae,Aegle,marmelos,tree,perennial,upright,Wild bael tree of dry forests,India,Indian subcontinent,Digestive and respiratory medicine,Wild fruit harvest,Sacred to Shiva,None,None,TRUE
Kushta,Saussurea costus,Asteraceae,Saussurea,costus,herb,perennial,upright,Himalayan alpine medicinal herb,India,Western Himalayas,Respiratory and anti-inflammatory use,Medicinal herb trade,High ritual value,None,Overharvest risk,TRUE
Atibala,Abutilon indicum,Malvaceae,Abutilon,indicum,shrub,perennial,spreading,Common wild shrub in plains,India,Indian subcontinent,Nervine tonic,Soil stabilizer,Folk medicine,None,None,TRUE
Datura,Datura metel,Solanaceae,Datura,metel,shrub,annual,upright,Wild psychoactive plant,India,Indian subcontinent,Pain relief (controlled use),None,Tantric rituals,Highly toxic,Strict control,TRUE
Shatavari,Asparagus racemosus,Asparagaceae,Asparagus,racemosus,climber,perennial,climbing,Wild forest climber with tuberous roots,India,Indian subcontinent,Female reproductive tonic,Medicinal cultivation,Sacred medicine,None,Sustainable harvest,TRUE
Kantakari,Solanum xanthocarpum,Solanaceae,Solanum,xanthocarpum,shrub,perennial,spreading,Spiny wild shrub,India,Indian subcontinent,Respiratory medicine,None,Ayurvedic use,Toxic berries,Avoid ingestion,TRUE
Gokhru,Tribulus terrestris,Zygophyllaceae,Tribulus,terrestris,herb,annual,prostrate,Ground-hugging thorny herb,India,Indian subcontinent,Urinary and vitality tonic,None,Folk medicine,None,None,TRUE
Vijaysar,Pterocarpus marsupium,Fabaceae,Pterocarpus,marsupium,tree,perennial,upright,Forest tree known for medicinal heartwood,India,Central India,Diabetes management,Timber forestry,Ayurvedic importance,None,None,TRUE
Kutaj,Holarrhena pubescens,Apocynaceae,Holarrhena,pubescens,tree,perennial,upright,Dry forest medicinal tree,India,Indian subcontinent,Anti-diarrheal medicine,Medicinal forestry,None,None,TRUE
Indian Gooseberry Wild,Phyllanthus emblica wild,Phyllanthaceae,Phyllanthus,emblica,tree,perennial,spreading,Wild amla tree in forests,India,Indian subcontinent,Immunity booster,Wild fruit harvest,Sacred,None,None,TRUE
Nagkesar,Mesua ferrea,Calophyllaceae,Mesua,ferrea,tree,perennial,upright,Evergreen forest tree with fragrant flowers,India,Northeast and Western Ghats,Anti-inflammatory uses,Timber and oil,Sacred flowers,None,None,TRUE
Arni,Clerodendrum phlomidis,Lamiaceae,Clerodendrum,phlomidis,shrub,perennial,spreading,Dryland medicinal shrub,India,Indian subcontinent,Anti-inflammatory uses,None,Traditional medicine,None,None,TRUE
Patha,Cissampelos pareira,Menispermaceae,Cissampelos,pareira,climber,perennial,climbing,Forest climber with medicinal roots,India,Indian subcontinent,Fever and urinary medicine,None,Folk medicine,None,None,TRUE
Brahmi Wild,Bacopa monnieri wild,Plantaginaceae,Bacopa,monnieri,herb,perennial,creeping,Wetland creeping medicinal herb,India,Indian wetlands,Cognitive tonic,None,Ayurvedic importance,None,None,TRUE
Chironji,Buchanania lanzan,Anacardiaceae,Buchanania,lanzan,tree,perennial,upright,Dry forest fruit tree,India,Central India,Nutritive kernels,Wild nut harvest,Tribal economy,None,None,TRUE
Indian Barberry,Berberis aristata,Berberidaceae,Berberis,aristata,shrub,perennial,spiny,Himalayan medicinal shrub with yellow wood,India,Himalayas,Liver and eye medicine,None,Ayurvedic importance,None,None,TRUE
Kutki,Picrorhiza kurroa,Plantaginaceae,Picrorhiza,kurroa,herb,perennial,creeping,High altitude medicinal herb,India,Western Himalayas,Liver tonic,None,Endangered medicine,None,Sustainable harvest,TRUE
Jivanti,Leptadenia reticulata,Apocynaceae,Leptadenia,reticulata,climber,perennial,climbing,Dryland medicinal climber,India,Western and Central India,Rejuvenative tonic,None,Ayurvedic use,None,None,TRUE
Shallaki, Boswellia serrata,Burseraceae,Boswellia,serrata,tree,perennial,upright,Dry deciduous forest tree producing resin,India,Central India,Anti-inflammatory resin,Forest resin,Sacred incense,None,None,TRUE
Chitrak,Plumbago zeylanica,Plumbaginaceae,Plumbago,zeylanica,shrub,perennial,spreading,Wild medicinal shrub with pungent roots,India,Indian subcontinent,Digestive stimulant,None,Traditional medicine,Toxic root,Controlled use,TRUE
Nagarmotha,Cyperus rotundus,Cyperaceae,Cyperus,rotundus,herb,perennial,grass-like,Common wild sedge with tubers,India,Indian subcontinent,Digestive and aromatic uses,None,Folk medicine,None,None,TRUE
Kalmegh,Andrographis paniculata,Acanthaceae,Andrographis,paniculata,herb,annual,upright,Bitter medicinal herb of plains,India,Indian subcontinent,Immunity and liver tonic,None,Ayurvedic importance,None,None,TRUE
Bhumyamalaki,Phyllanthus niruri,Phyllanthaceae,Phyllanthus,niruri,herb,annual,spreading,Small wild medicinal herb,India,Indian subcontinent,Liver and kidney medicine,None,Ayurvedic use,None,None,TRUE
Vatsanabha,Aconitum ferox,Ranunculaceae,Aconitum,ferox,herb,perennial,upright,Highly toxic alpine medicinal plant,India,Himalayas,Pain relief (processed),None,Tantric use,Extremely toxic,Expert handling,TRUE
Ativisha,Aconitum heterophyllum,Ranunculaceae,Aconitum,heterophyllum,herb,perennial,upright,Himalayan medicinal herb,India,Himalayas,Fever and diarrhea,None,Ayurvedic medicine,Toxic raw,Controlled use,TRUE
Kuth,Saussurea lappa,Asteraceae,Saussurea,lappa,herb,perennial,upright,Alpine medicinal root plant,India,Himalayas,Respiratory medicine,None,High trade value,None,Overharvest risk,TRUE
Shyonaka,Oroxylum indicum,Bignoniaceae,Oroxylum,indicum,tree,perennial,upright,Forest tree with large pods,India,Indian subcontinent,Anti-inflammatory medicine,Forest species,Dashamoola,None,None,TRUE
Gambhari,Gmelina arborea,Lamiaceae,Gmelina,arborea,tree,perennial,upright,Fast growing deciduous forest tree,India,Indian subcontinent,General tonic,Timber forestry,Dashamoola,None,None,TRUE
Agnimantha,Premna serratifolia,Lamiaceae,Premna,serratifolia,tree,perennial,spreading,Coastal and forest medicinal tree,India,Indian subcontinent,Anti-inflammatory uses,None,Dashamoola,None,None,TRUE
Patala,Stereospermum suaveolens,Bignoniaceae,Stereospermum,suaveolens,tree,perennial,upright,Large forest medicinal tree,India,Indian subcontinent,Respiratory tonic,None,Dashamoola,None,None,TRUE
Mustaka,Cyperus scariosus,Cyperaceae,Cyperus,scariosus,herb,perennial,grass-like,Aromatic wild sedge,India,Indian subcontinent,Digestive medicine,None,Traditional use,None,None,TRUE
Rasna,Pluchea lanceolata,Asteraceae,Pluchea,lanceolata,herb,perennial,spreading,Marshy medicinal herb,India,Indian subcontinent,Joint pain relief,None,Ayurvedic use,None,None,TRUE
Kakoli,Fritillaria roylei,Liliaceae,Fritillaria,roylei,herb,perennial,upright,Himalayan bulbous medicinal plant,India,Western Himalayas,Respiratory tonic,None,Rare herb,None,Endangered,TRUE
Tejpatta,Cinnamomum tamala,Lauraceae,Cinnamomum,tamala,tree,perennial,upright,Aromatic wild laurel tree,India,Himalayas,Digestive and spice use,Leaf harvest,Culinary importance,None,None,TRUE
Wild Turmeric,Curcuma aromatica,Zingiberaceae,Curcuma,aromatica,herb,perennial,rhizomatous,Wild turmeric species,India,Indian subcontinent,Skin and wound care,None,Ritual use,None,None,TRUE